time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,3,3,0,0
2026-09-02 00:00:00+00:00,2,2,0,0
2026-09-03 00:00:00+00:00,1,1,4,2
2026-09-04 00:00:00+00:00,2,2,0,0
2026-09-05 00:00:00+00:00,3,3,5,1
2026-09-06 00:00:00+00:00,2,2,5,1
2026-09-07 00:00:00+00:00,11,5,40,7
2026-09-08 00:00:00+00:00,2,2,35,21
2026-09-09 00:00:00+00:00,2,2,9,7
2026-09-10 00:00:00+00:00,3,3,14,7
2026-09-11 00:00:00+00:00,1,1,8,5
2026-09-12 00:00:00+00:00,3,3,11,4
2026-09-13 00:00:00+00:00,15,9,0,0
2026-09-14 00:00:00+00:00,1,1,5,3
