time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,0,0,0,0
2026-08-09 00:00:00+00:00,0,0,0,0
2026-08-10 00:00:00+00:00,0,0,0,0
2026-08-11 00:00:00+00:00,0,0,0,0
2026-08-12 00:00:00+00:00,0,0,0,0
2026-08-13 00:00:00+00:00,0,0,0,0
2026-08-14 00:00:00+00:00,0,0,0,0
2026-08-15 00:00:00+00:00,0,0,0,0
2026-08-16 00:00:00+00:00,0,0,0,0
2026-08-17 00:00:00+00:00,0,0,0,0
2026-08-18 00:00:00+00:00,19,14,18,1
2026-08-19 00:00:00+00:00,4,4,3,1
2026-08-20 00:00:00+00:00,1,1,0,0
2026-08-21 00:00:00+00:00,6,6,22,7
2026-08-22 00:00:00+00:00,6,6,15,5
2026-08-23 00:00:00+00:00,5,5,35,2
2026-08-24 00:00:00+00:00,1,1,17,4
2026-08-25 00:00:00+00:00,15,6,12,2
2026-08-26 00:00:00+00:00,2,2,1,1
2026-08-27 00:00:00+00:00,1,1,0,0
2026-08-28 00:00:00+00:00,1,1,2,1
2026-08-29 00:00:00+00:00,1,1,1,1
2026-08-30 00:00:00+00:00,1,1,1,1
2026-08-31 00:00:00+00:00,13,4,5,1
2026-09-01 00:00:00+00:00,3,3,0,0
2026-09-02 00:00:00+00:00,2,2,0,0
